month,location_id,location_name,city,region,store_format,product_id,product_name,category,subcategory,vendor_name,units_sold,transactions_count,revenue,discount_amount,cogs,labor_cost,packaging_cost,overhead_allocated,total_cost,total_cost_clean,gross_profit,gross_margin_pct,food_cost_pct,waste_units,waste_cost,waste_pct_revenue,actual_unit_cost,prior_unit_cost,vendor_cost_change_pct,standard_vs_actual_cost_variance,performance_flag,priority_label
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P001,Grilled Chicken Breast,Proteins,Chicken,Prime Protein Partners,696,510,10015.75,417.29,3544.85,1730.72,220.35,1101.73,6597.65,6597.65,3418.1000000000004,0.341272495819085,0.3539275640865637,21,100.8,0.010064148965379527,4.8,4.8,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P002,Beef Striploin,Proteins,Beef,Prime Protein Partners,576,538,10500.789999999999,437.45,4207.34,1814.54,231.02,1155.09,7407.98,7407.990000000001,3092.7999999999984,0.29453022105955823,0.400668902054036,16,110.4,0.010513494698970269,6.9,6.9,0.0,0.0,Watchlist,Medium Priority
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P003,Salmon Fillet,Proteins,Fish,Prime Protein Partners,506,488,9467.57,394.37,3810.07,1636.0,208.29,1041.43,6695.79,6695.79,2771.7799999999997,0.2927657255240785,0.4024337818468731,15,106.5,0.011248926598905527,7.1,7.1,0.0,0.0,Watchlist,Medium Priority
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P004,Turkey Slices,Proteins,Turkey,Prime Protein Partners,584,404,7843.43,326.73,2612.9,1355.34,172.56,862.78,5003.58,5003.58,2839.8500000000004,0.36206736083575686,0.3331323158363114,20,84.0,0.01070960026417014,4.2,4.2,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P005,Tofu Cubes,Proteins,Plant,Maple Fresh Foods,469,278,5398.5,224.81,1545.41,932.86,118.77,593.84,3190.87,3190.88,2207.62,0.4089321107715106,0.2862665555246828,15,46.5,0.008613503751041956,3.1,3.1,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P006,Mixed Greens,Produce,Leafy,Green Harvest Produce,734,288,5688.8099999999995,175.85,1630.9,798.71,113.78,625.77,3169.16,3169.1600000000003,2519.649999999999,0.4429133685252275,0.2866856161481927,20,42.0,0.007382914880264942,2.1,2.1,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P007,Cherry Tomatoes,Produce,Tomatoes,Green Harvest Produce,665,231,4509.01,139.34,1268.14,633.07,90.18,495.99,2487.37,2487.38,2021.63,0.44835340795429596,0.2812457723535765,19,34.2,0.007584813517823203,1.8,1.8,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P008,Avocado Slices,Produce,Avocado,Green Harvest Produce,549,248,4787.53,147.98,1684.67,672.17,95.75,526.63,2979.22,2979.2200000000003,1808.3099999999995,0.3777125156395886,0.35188709000256924,15,43.5,0.009086104943467718,2.9,2.9,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P009,Roasted Vegetables,Produce,Hot Veg,Green Harvest Produce,629,234,4569.91,141.3,1463.84,641.62,91.4,502.69,2699.54,2699.55,1870.3599999999997,0.40927720677212454,0.3203214067673105,17,37.4,0.008183968612073322,2.2,2.2,0.0,0.0,Healthy,Monitor
2024-01,LOC001,Toronto Downtown,Toronto,Ontario,Downtown,P010,Fruit Cup,Produce,Fruit,Green Harvest Produce,542,160,3149.26,97.32,1116.73,442.16,62.99,346.42,1968.29,1968.3000000000002,1180.96,0.37499603081358795,0.35460076335393076,14,27.3,0.008668703123908474,1.95,1.95,0.0,0.0,Healthy,Monitor
