month,location_id,product_id,cogs,labor_cost,packaging_cost,overhead_allocated,total_cost
2024-01,LOC001,P001,3544.85,1730.72,220.35,1101.73,6597.65
2024-01,LOC001,P002,4207.34,1814.54,231.02,1155.09,7407.98
2024-01,LOC001,P003,3810.07,1636.0,208.29,1041.43,6695.79
2024-01,LOC001,P004,2612.9,1355.34,172.56,862.78,5003.58
2024-01,LOC001,P005,1545.41,932.86,118.77,593.84,3190.87
2024-01,LOC001,P006,1630.9,798.71,113.78,625.77,3169.16
2024-01,LOC001,P007,1268.14,633.07,90.18,495.99,2487.37
2024-01,LOC001,P008,1684.67,672.17,95.75,526.63,2979.22
2024-01,LOC001,P009,1463.84,641.62,91.4,502.69,2699.54
2024-01,LOC001,P010,1116.73,442.16,62.99,346.42,1968.29
2024-01,LOC001,P011,1095.9,421.02,87.71,536.02,2140.65
2024-01,LOC001,P012,1253.75,429.96,89.58,547.41,2320.69
2024-01,LOC001,P013,1506.7,528.38,110.08,672.71,2817.87
2024-01,LOC001,P014,997.15,422.39,88.0,537.76,2045.3
2024-01,LOC001,P015,1937.6,505.75,105.37,643.9,3192.62
2024-01,LOC001,P016,1895.4,748.05,131.6,761.91,3536.96
2024-01,LOC001,P017,1321.1,554.1,97.48,564.36,2537.04
2024-01,LOC001,P018,1435.0,565.03,99.4,575.49,2674.92
2024-01,LOC001,P019,1829.65,609.94,107.3,621.24,3168.14
2024-01,LOC001,P020,819.6,350.85,61.72,357.34,1589.51
2024-01,LOC001,P021,440.45,175.54,28.9,198.65,843.54
2024-01,LOC001,P022,557.7,186.11,30.64,210.62,985.07
2024-01,LOC001,P023,441.0,158.8,26.14,179.71,805.64
2024-01,LOC001,P024,392.35,151.54,24.94,171.5,740.33
2024-01,LOC001,P025,221.4,13.14,6.08,66.94,307.56
2024-01,LOC001,P026,63.55,5.43,2.52,27.68,99.18
2024-01,LOC001,P027,35.19,3.76,1.74,19.12,59.81
2024-01,LOC001,P028,103.23,8.58,3.97,43.7,159.48
2024-01,LOC002,P001,3243.26,1518.16,200.72,1003.59,5965.74
2024-01,LOC002,P002,3773.82,1562.29,206.55,1032.76,6575.42
2024-01,LOC002,P003,3561.43,1466.44,193.88,969.4,6191.15
2024-01,LOC002,P004,2387.95,1197.88,158.37,791.87,4536.07
2024-01,LOC002,P005,1417.69,823.61,108.89,544.45,2894.64
