month,location_id,product_id,waste_units,waste_cost,waste_reason,recorded_by
2024-01,LOC001,P001,21,100.8,Overproduction,Kitchen Lead
2024-01,LOC001,P002,16,110.4,Overproduction,Shift Manager
2024-01,LOC001,P003,15,106.5,Overproduction,Inventory Coordinator
2024-01,LOC001,P004,20,84.0,Expired Inventory,Shift Manager
2024-01,LOC001,P005,15,46.5,Overproduction,Kitchen Lead
2024-01,LOC001,P006,20,42.0,Overproduction,Inventory Coordinator
2024-01,LOC001,P007,19,34.2,Prep Loss,Operations Supervisor
2024-01,LOC001,P008,15,43.5,Spoilage,Operations Supervisor
2024-01,LOC001,P009,17,37.4,Damaged Handling,Operations Supervisor
2024-01,LOC001,P010,14,27.3,Prep Loss,Inventory Coordinator
2024-01,LOC001,P011,23,14.95,Spoilage,Operations Supervisor
2024-01,LOC001,P012,20,17.0,Spoilage,Operations Supervisor
2024-01,LOC001,P013,22,20.9,Overproduction,Operations Supervisor
2024-01,LOC001,P014,25,13.75,Overproduction,Shift Manager
2024-01,LOC001,P015,14,22.4,Prep Loss,Inventory Coordinator
2024-01,LOC001,P016,27,35.1,Prep Loss,Operations Supervisor
2024-01,LOC001,P017,23,25.3,Expired Inventory,Inventory Coordinator
2024-01,LOC001,P018,22,27.5,Spoilage,Operations Supervisor
2024-01,LOC001,P019,17,31.45,Spoilage,Operations Supervisor
2024-01,LOC001,P020,21,12.6,Expired Inventory,Kitchen Lead
2024-01,LOC001,P021,6,6.9,Spoilage,Shift Manager
2024-01,LOC001,P022,5,8.25,Prep Loss,Shift Manager
2024-01,LOC001,P023,5,7.0,Spoilage,Operations Supervisor
2024-01,LOC001,P024,6,5.7,Damaged Handling,Shift Manager
2024-01,LOC001,P025,13,2.34,Spoilage,Inventory Coordinator
2024-01,LOC001,P026,13,0.65,Spoilage,Inventory Coordinator
2024-01,LOC001,P027,14,0.42,Spoilage,Kitchen Lead
2024-01,LOC001,P028,12,1.08,Spoilage,Inventory Coordinator
2024-01,LOC002,P001,22,105.6,Spoilage,Inventory Coordinator
2024-01,LOC002,P002,16,110.4,Overproduction,Kitchen Lead
2024-01,LOC002,P003,16,113.6,Prep Loss,Inventory Coordinator
2024-01,LOC002,P004,16,67.2,Damaged Handling,Shift Manager
2024-01,LOC002,P005,14,43.4,Prep Loss,Inventory Coordinator
2024-01,LOC002,P006,18,37.8,Overproduction,Shift Manager
2024-01,LOC002,P007,17,30.6,Damaged Handling,Inventory Coordinator
2024-01,LOC002,P008,13,37.7,Expired Inventory,Kitchen Lead
2024-01,LOC002,P009,18,39.6,Spoilage,Operations Supervisor
2024-01,LOC002,P010,15,29.25,Damaged Handling,Kitchen Lead
2024-01,LOC002,P011,18,11.7,Expired Inventory,Shift Manager
2024-01,LOC002,P012,18,15.3,Overproduction,Shift Manager
2024-01,LOC002,P013,20,19.0,Spoilage,Shift Manager
2024-01,LOC002,P014,20,11.0,Expired Inventory,Shift Manager
